رقم_السجل,اسم_المعرض,اسم_السيارة,ماركة_السيارة,موديل_السيارة,سنة_الصنع,السعر_بالدولار,الممشى_كم,لون_السيارة,ناقل_الحركة,نوع_الوقود,حالة_السيارة,رقم_الهاتف,المدينة,صورة_السيارة
56,معرض السيارات الحديثة,تويوتا هايلاندر,تويوتا,هايلاندر,2026,42500,5000,رمادي,أوتوماتيك,بنزين,مستعملة,756600900,ذمار,/static/images/cars/رمادي_هايلاندر_تويوتا.car.svg
57,معرض السيارات الحديثة,بي إم دبليو X3,بي إم دبليو,X3,2016,32600,173480,لؤلؤي,أوتوماتيك,ديزل,مستعملة,768186525,حضرموت,/static/images/cars/لؤلؤي_X3_بي إم دبليو.car.svg
58,معرض القمة,بي إم دبليو X5,بي إم دبليو,X5,2026,64700,0,أحمر,عادي,كهربائي,جديدة,772394301,ذمار,/static/images/cars/أحمر_X5_بي إم دبليو.car.svg
59,معرض النخبة,بي إم دبليو X3,بي إم دبليو,X3,2020,46400,74551,أحمر,عادي,ديزل,مستعملة,786483924,ذمار,/static/images/cars/أحمر_X3_بي إم دبليو.car.svg
60,معرض الرواد,فورد إكسبلورر,فورد,إكسبلورر,2022,36600,55279,أحمر,عادي,هجين,مستعملة,755679506,إب,/static/images/cars/أحمر_إكسبلورر_فورد.car.svg
61,معرض النخبة,مرسيدس S-Class,مرسيدس,S-Class,2023,55100,30962,أزرق,عادي,بنزين,مستعملة,775575808,الحديدة,/static/images/cars/أزرق_S-Class_مرسيدس.car.svg
62,معرض النخبة,بي إم دبليو X5,بي إم دبليو,X5,2025,56700,11624,لؤلؤي,أوتوماتيك,كهربائي,مستعملة,751098277,حضرموت,/static/images/cars/لؤلؤي_X5_بي إم دبليو.car.svg
63,معرض الرواد,هيونداي توسان,هيونداي,توسان,2021,26700,72859,فضي,أوتوماتيك,كهربائي,مستعملة,726194158,الحديدة,/static/images/cars/فضي_توسان_هيونداي.car.svg
64,معرض الرواد,فورد إكسبلورر,فورد,إكسبلورر,2026,43800,5000,أزرق,عادي,ديزل,مستعملة,723492385,الحديدة,/static/images/cars/أزرق_إكسبلورر_فورد.car.svg
65,معرض الرواد,فورد موستانج,فورد,موستانج,2020,28400,71586,أبيض,أوتوماتيك,هجين,مستعملة,784270583,إب,/static/images/cars/أبيض_موستانج_فورد.car.svg
66,معرض التميز,بي إم دبليو الفئة الخامسة,بي إم دبليو,الفئة الخامسة,2025,56000,13722,لؤلؤي,عادي,كهربائي,مستعملة,755728776,تعز,/static/images/cars/لؤلؤي_الفئة الخامسة_بي إم دبليو.car.svg
67,معرض الأصالة,تويوتا راف فور,تويوتا,راف فور,2022,34600,39546,رمادي,أوتوماتيك,ديزل,مستعملة,730364454,تعز,/static/images/cars/رمادي_راف فور_تويوتا.car.svg
68,معرض القمة,مرسيدس S-Class,مرسيدس,S-Class,2016,41100,127600,رمادي,أوتوماتيك,ديزل,مستعملة,780138498,ذمار,/static/images/cars/رمادي_S-Class_مرسيدس.car.svg
69,معرض القمة,هيونداي سانتافي,هيونداي,سانتافي,2019,22300,112178,أزرق,أوتوماتيك,بنزين,مستعملة,737888820,الحديدة,/static/images/cars/أزرق_سانتافي_هيونداي.car.svg
70,معرض النخبة,فورد إكسبلورر,فورد,إكسبلورر,2017,25500,114208,أبيض,عادي,بنزين,مستعملة,770465583,المكلا,/static/images/cars/أبيض_إكسبلورر_فورد.car.svg
71,معرض النجوم,فورد إكسبلورر,فورد,إكسبلورر,2018,26700,109392,أسود,عادي,بنزين,مستعملة,793893865,الحديدة,/static/images/cars/أسود_إكسبلورر_فورد.car.svg
72,معرض الأصالة,هيونداي سوناتا,هيونداي,سوناتا,2023,30500,35490,أبيض,أوتوماتيك,هجين,مستعملة,751286958,إب,/static/images/cars/أبيض_سوناتا_هيونداي.car.svg
73,معرض التميز,هيونداي سوناتا,هيونداي,سوناتا,2022,27700,57522,أبيض,أوتوماتيك,ديزل,مستعملة,767985905,حضرموت,/static/images/cars/أبيض_سوناتا_هيونداي.car.svg
74,معرض السيارات الحديثة,مرسيدس S-Class,مرسيدس,S-Class,2015,40100,114206,أزرق,عادي,بنزين,مستعملة,787342561,صنعاء,/static/images/cars/أزرق_S-Class_مرسيدس.car.svg
75,معرض النجوم,هوندا بايلوت,هوندا,بايلوت,2023,32200,48292,أحمر,عادي,ديزل,مستعملة,722246348,المكلا,/static/images/cars/أحمر_بايلوت_هوندا.car.svg
76,معرض التميز,فورد إكسبيديشن,فورد,إكسبيديشن,2020,29100,82273,أزرق,عادي,كهربائي,مستعملة,748683937,ذمار,/static/images/cars/أزرق_إكسبيديشن_فورد.car.svg
77,معرض الأصالة,مرسيدس C-Class,مرسيدس,C-Class,2022,53300,41921,أحمر,عادي,كهربائي,مستعملة,779067939,صنعاء,/static/images/cars/أحمر_C-Class_مرسيدس.car.svg
78,معرض القمة,بي إم دبليو X5,بي إم دبليو,X5,2021,51400,47513,أحمر,عادي,كهربائي,مستعملة,793940940,المكلا,/static/images/cars/أحمر_X5_بي إم دبليو.car.svg
79,معرض النجوم,تويوتا كورولا,تويوتا,كورولا,2019,24500,123132,لؤلؤي,أوتوماتيك,ديزل,مستعملة,713874790,الحديدة,/static/images/cars/لؤلؤي_كورولا_تويوتا.car.svg
80,معرض النخبة,بي إم دبليو الفئة الخامسة,بي إم دبليو,الفئة الخامسة,2019,46000,68616,أحمر,أوتوماتيك,بنزين,مستعملة,771934487,عدن,/static/images/cars/أحمر_الفئة الخامسة_بي إم دبليو.car.svg
81,معرض السيارات الحديثة,بي إم دبليو الفئة الخامسة,بي إم دبليو,الفئة الخامسة,2022,50700,58461,لؤلؤي,عادي,ديزل,مستعملة,742713008,المكلا,/static/images/cars/لؤلؤي_الفئة الخامسة_بي إم دبليو.car.svg
82,معرض السيارات الحديثة,مرسيدس E-Class,مرسيدس,E-Class,2021,52500,65430,أبيض,عادي,هجين,مستعملة,765692629,حضرموت,/static/images/cars/أبيض_E-Class_مرسيدس.car.svg
83,معرض السيارات الحديثة,مرسيدس S-Class,مرسيدس,S-Class,2015,38600,149865,أسود,عادي,ديزل,مستعملة,782287061,المكلا,/static/images/cars/أسود_S-Class_مرسيدس.car.svg
84,معرض السيارات الحديثة,فورد إيدج,فورد,إيدج,2023,38200,54889,أسود,أوتوماتيك,كهربائي,مستعملة,786745380,ذمار,/static/images/cars/أسود_إيدج_فورد.car.svg
85,معرض النجوم,هوندا بايلوت,هوندا,بايلوت,2015,14500,159092,أحمر,أوتوماتيك,ديزل,مستعملة,776481885,صنعاء,/static/images/cars/أحمر_بايلوت_هوندا.car.svg
86,معرض الأصالة,هوندا CR-V,هوندا,CR-V,2016,17500,158763,أزرق,أوتوماتيك,ديزل,مستعملة,765026398,تعز,/static/images/cars/أزرق_CR-V_هوندا.car.svg
87,معرض السيارات الحديثة,تويوتا لاندكروزر,تويوتا,لاندكروزر,2019,23700,103334,أزرق,عادي,كهربائي,مستعملة,752501540,المكلا,/static/images/cars/أزرق_لاندكروزر_تويوتا.car.svg
88,معرض النجوم,مرسيدس C-Class,مرسيدس,C-Class,2024,58200,19088,أبيض,عادي,هجين,مستعملة,723212812,عدن,/static/images/cars/أبيض_C-Class_مرسيدس.car.svg
89,معرض الرواد,هيونداي إلنترا,هيونداي,إلنترا,2026,40500,0,أحمر,أوتوماتيك,بنزين,جديدة,749375156,حضرموت,/static/images/cars/أحمر_إلنترا_هيونداي.car.svg
90,معرض النخبة,فورد إكسبيديشن,فورد,إكسبيديشن,2017,24000,120702,أسود,أوتوماتيك,هجين,مستعملة,791804602,ذمار,/static/images/cars/أسود_إكسبيديشن_فورد.car.svg
91,معرض التميز,مرسيدس E-Class,مرسيدس,E-Class,2022,54900,44180,فضي,أوتوماتيك,كهربائي,مستعملة,772445234,إب,/static/images/cars/فضي_E-Class_مرسيدس.car.svg
92,معرض التميز,بي إم دبليو الفئة الخامسة,بي إم دبليو,الفئة الخامسة,2016,37800,163031,أزرق,عادي,هجين,مستعملة,771315464,إب,/static/images/cars/أزرق_الفئة الخامسة_بي إم دبليو.car.svg
93,معرض القمة,هوندا بايلوت,هوندا,بايلوت,2022,32300,41874,فضي,عادي,كهربائي,مستعملة,712944682,ذمار,/static/images/cars/فضي_بايلوت_هوندا.car.svg
94,معرض السيارات الحديثة,فورد إكسبلورر,فورد,إكسبلورر,2024,41700,24541,أحمر,أوتوماتيك,كهربائي,مستعملة,791478884,حضرموت,/static/images/cars/أحمر_إكسبلورر_فورد.car.svg
95,معرض الرواد,هوندا سيفيك,هوندا,سيفيك,2024,34400,23452,أحمر,عادي,بنزين,مستعملة,714478111,حضرموت,/static/images/cars/أحمر_سيفيك_هوندا.car.svg
96,معرض النخبة,بي إم دبليو الفئة الخامسة,بي إم دبليو,الفئة الخامسة,2016,37500,138702,أسود,عادي,هجين,مستعملة,781249799,إب,/static/images/cars/أسود_الفئة الخامسة_بي إم دبليو.car.svg
97,معرض الأصالة,هوندا CR-V,هوندا,CR-V,2022,29500,55889,أسود,أوتوماتيك,ديزل,مستعملة,763339667,حضرموت,/static/images/cars/أسود_CR-V_هوندا.car.svg
98,معرض الرواد,تويوتا لاندكروزر,تويوتا,لاندكروزر,2015,14700,150443,أزرق,عادي,ديزل,مستعملة,788458327,ذمار,/static/images/cars/أزرق_لاندكروزر_تويوتا.car.svg
99,معرض النخبة,بي إم دبليو X3,بي إم دبليو,X3,2016,34600,131024,أزرق,أوتوماتيك,هجين,مستعملة,795282470,المكلا,/static/images/cars/أزرق_X3_بي إم دبليو.car.svg
100,معرض الأصالة,بي إم دبليو X3,بي إم دبليو,X3,2025,62600,0,فضي,عادي,بنزين,جديدة,725585427,عدن,/static/images/cars/فضي_X3_بي إم دبليو.car.svg
101,معرض القمة,هوندا سيفيك,هوندا,سيفيك,2021,30000,83238,أزرق,أوتوماتيك,ديزل,مستعملة,765684858,عدن,/static/images/cars/أزرق_سيفيك_هوندا.car.svg
102,معرض التميز,هيونداي سانتافي,هيونداي,سانتافي,2019,21400,67822,أسود,عادي,ديزل,مستعملة,723335151,حضرموت,/static/images/cars/أسود_سانتافي_هيونداي.car.svg
103,معرض السيارات الحديثة,مرسيدس S-Class,مرسيدس,S-Class,2015,34400,170273,أحمر,عادي,بنزين,مستعملة,722304198,الحديدة,/static/images/cars/أحمر_S-Class_مرسيدس.car.svg
104,معرض الأصالة,بي إم دبليو الفئة الثالثة,بي إم دبليو,الفئة الثالثة,2015,32400,158094,أحمر,أوتوماتيك,هجين,مستعملة,788703005,الحديدة,/static/images/cars/أحمر_الفئة الثالثة_بي إم دبليو.car.svg
105,معرض القمة,هوندا CR-V,هوندا,CR-V,2017,19600,80956,فضي,أوتوماتيك,هجين,مستعملة,724754064,صنعاء,/static/images/cars/فضي_CR-V_هوندا.car.svg
106,معرض النخبة,هوندا أكورد,هوندا,أكورد,2020,26500,82035,فضي,أوتوماتيك,بنزين,مستعملة,727013243,ذمار,/static/images/cars/فضي_أكورد_هوندا.car.svg
107,معرض القمة,مرسيدس C-Class,مرسيدس,C-Class,2026,69000,0,رمادي,أوتوماتيك,كهربائي,جديدة,770667140,الحديدة,/static/images/cars/رمادي_C-Class_مرسيدس.car.svg
108,معرض الأصالة,مرسيدس C-Class,مرسيدس,C-Class,2026,63800,5000,لؤلؤي,عادي,بنزين,مستعملة,767213476,عدن,/static/images/cars/لؤلؤي_C-Class_مرسيدس.car.svg
109,معرض الأصالة,هيونداي سانتافي,هيونداي,سانتافي,2016,17600,103507,أسود,عادي,هجين,مستعملة,793794475,حضرموت,/static/images/cars/أسود_سانتافي_هيونداي.car.svg
110,معرض السيارات الحديثة,هيونداي توسان,هيونداي,توسان,2022,28300,74047,أزرق,أوتوماتيك,بنزين,مستعملة,797874085,الحديدة,/static/images/cars/أزرق_توسان_هيونداي.car.svg
111,معرض التميز,هيونداي سانتافي,هيونداي,سانتافي,2018,18900,126785,أزرق,أوتوماتيك,ديزل,مستعملة,751949529,ذمار,/static/images/cars/أزرق_سانتافي_هيونداي.car.svg
112,معرض السيارات الحديثة,فورد إيدج,فورد,إيدج,2020,28800,71770,أبيض,أوتوماتيك,بنزين,مستعملة,767965485,عدن,/static/images/cars/أبيض_إيدج_فورد.car.svg
113,معرض الأصالة,بي إم دبليو X3,بي إم دبليو,X3,2017,42400,94446,لؤلؤي,عادي,هجين,مستعملة,799300492,ذمار,/static/images/cars/لؤلؤي_X3_بي إم دبليو.car.svg
114,معرض النخبة,بي إم دبليو الفئة الثالثة,بي إم دبليو,الفئة الثالثة,2019,42100,99594,أزرق,عادي,هجين,مستعملة,740097636,عدن,/static/images/cars/أزرق_الفئة الثالثة_بي إم دبليو.car.svg
115,معرض السيارات الحديثة,فورد إيدج,فورد,إيدج,2016,19800,140046,رمادي,أوتوماتيك,ديزل,مستعملة,791737913,إب,/static/images/cars/رمادي_إيدج_فورد.car.svg
116,معرض النخبة,تويوتا كورولا,تويوتا,كورولا,2019,26100,99001,أحمر,أوتوماتيك,بنزين,مستعملة,786010330,ذمار,/static/images/cars/أحمر_كورولا_تويوتا.car.svg
117,معرض التميز,تويوتا كورولا,تويوتا,كورولا,2026,44400,5000,لؤلؤي,عادي,هجين,مستعملة,755754284,تعز,/static/images/cars/لؤلؤي_كورولا_تويوتا.car.svg
118,معرض الأصالة,فورد إيدج,فورد,إيدج,2026,51900,0,أسود,أوتوماتيك,بنزين,جديدة,792924837,صنعاء,/static/images/cars/أسود_إيدج_فورد.car.svg
119,معرض التميز,بي إم دبليو الفئة الثالثة,بي إم دبليو,الفئة الثالثة,2019,44500,115760,فضي,أوتوماتيك,ديزل,مستعملة,778765957,عدن,/static/images/cars/فضي_الفئة الثالثة_بي إم دبليو.car.svg
120,معرض النخبة,فورد إكسبيديشن,فورد,إكسبيديشن,2016,21900,141117,لؤلؤي,أوتوماتيك,بنزين,مستعملة,711031743,الحديدة,/static/images/cars/لؤلؤي_إكسبيديشن_فورد.car.svg
121,معرض الأصالة,فورد موستانج,فورد,موستانج,2017,23500,118416,لؤلؤي,عادي,بنزين,مستعملة,733581357,تعز,/static/images/cars/لؤلؤي_موستانج_فورد.car.svg
122,معرض التميز,هيونداي إلنترا,هيونداي,إلنترا,2023,31300,40586,أبيض,عادي,بنزين,مستعملة,720450542,حضرموت,/static/images/cars/أبيض_إلنترا_هيونداي.car.svg
123,معرض التميز,مرسيدس GLC,مرسيدس,GLC,2024,57600,33095,أبيض,عادي,بنزين,مستعملة,733068427,المكلا,/static/images/cars/أبيض_GLC_مرسيدس.car.svg
124,معرض القمة,بي إم دبليو X3,بي إم دبليو,X3,2016,35200,158284,لؤلؤي,أوتوماتيك,ديزل,مستعملة,763118906,إب,/static/images/cars/لؤلؤي_X3_بي إم دبليو.car.svg
125,معرض القمة,بي إم دبليو X3,بي إم دبليو,X3,2018,39400,113402,رمادي,أوتوماتيك,بنزين,مستعملة,756892354,حضرموت,/static/images/cars/رمادي_X3_بي إم دبليو.car.svg
126,معرض النخبة,بي إم دبليو الفئة الخامسة,بي إم دبليو,الفئة الخامسة,2018,42300,82871,رمادي,أوتوماتيك,هجين,مستعملة,797980930,عدن,/static/images/cars/رمادي_الفئة الخامسة_بي إم دبليو.car.svg
127,معرض النخبة,هوندا بايلوت,هوندا,بايلوت,2022,30600,69664,لؤلؤي,أوتوماتيك,كهربائي,مستعملة,772937522,المكلا,/static/images/cars/لؤلؤي_بايلوت_هوندا.car.svg
128,معرض الرواد,بي إم دبليو X3,بي إم دبليو,X3,2019,46700,70206,لؤلؤي,عادي,بنزين,مستعملة,715047559,صنعاء,/static/images/cars/لؤلؤي_X3_بي إم دبليو.car.svg
129,معرض التميز,فورد إيدج,فورد,إيدج,2016,23500,109523,رمادي,أوتوماتيك,ديزل,مستعملة,770362235,الحديدة,/static/images/cars/رمادي_إيدج_فورد.car.svg
130,معرض السيارات الحديثة,فورد إكسبيديشن,فورد,إكسبيديشن,2023,39200,30426,أحمر,عادي,بنزين,مستعملة,721318464,تعز,/static/images/cars/أحمر_إكسبيديشن_فورد.car.svg
131,معرض الرواد,تويوتا كورولا,تويوتا,كورولا,2026,48900,0,فضي,عادي,هجين,جديدة,761998170,ذمار,/static/images/cars/فضي_كورولا_تويوتا.car.svg
